"id","sp","rep","ind","twig","chill","time","treatcode","position","row","col"
"VIBCASX5_HF_01","VIBCAS","X5","VIBCASX5","01","chill1","time2","1_2",1,1,1
"HAMVIRX6_HF_10","HAMVIR","X6","HAMVIRX6","10","chill1","time1","1_1",1,1,1
"FAGGRA02_HF_10","FAGGRA","02","FAGGRA02","10","chill1","time2","1_2",1,1,1
"ACESAC06_HF_11","ACESAC","06","ACESAC06","11","chill1","time3","1_3",2,2,1
"ILEMUCX5_HF_03","ILEMUC","X5","ILEMUCX5","03","chill1","time2","1_2",2,2,1
"HAMVIRX1_HF_04","HAMVIR","X1","HAMVIRX1","04","chill1","time2","1_2",2,2,1
"HAMVIRX5_HF_01","HAMVIR","X5","HAMVIRX5","01","chill1","time1","1_1",3,3,1
"ILEMUC08_HF_12","ILEMUC","08","ILEMUC08","12","chill1","time1","1_1",3,3,1
"QUERUB22_HF_04","QUERUB","22","QUERUB22","04","chill1","time1","1_1",3,3,1
"QUERUBX2_HF_02","QUERUB","X2","QUERUBX2","02","chill1","time2","1_2",4,4,1
"ILEMUC03_HF_04","ILEMUC","03","ILEMUC03","04","chill1","time2","1_2",4,4,1
"HAMVIRX3_HF_12","HAMVIR","X3","HAMVIRX3","12","chill1","time2","1_2",4,4,1
"ACESACX1_HF_10","ACESAC","X1","ACESACX1","10","chill1","time2","1_2",5,5,1
"QUERUBX4_HF_02","QUERUB","X4","QUERUBX4","02","chill1","time1","1_1",5,5,1
"VIBCAS08_HF_03","VIBCAS","08","VIBCAS08","03","chill1","time1","1_1",5,5,1
"VIBCASX5_HF_12","VIBCAS","X5","VIBCASX5","12","chill1","time1","1_1",6,6,1
"BETALL18_HF_06","BETALL","18","BETALL18","06","chill1","time2","1_2",6,6,1
"FAGGRAX3_HF_09","FAGGRA","X3","FAGGRAX3","09","chill1","time2","1_2",6,6,1
"VIBCAS01_HF_04","VIBCAS","01","VIBCAS01","04","chill1","time3","1_3",7,7,1
